Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.061±-0.0, 157, 0-25%
All Sources,F1100/F500,-0.75±-0.936, 202, 0-25%
All Sources,F1100/F350,-1.201±-1.357, 209, 0-25%
All Sources,F1100/F250,-1.658±-1.678, 209, 0-25%
All Sources,F1100/F160,-1.081±-0.035, 209, 0-25%
All Sources,F1100/F70,-1.638±-1.456, 171, 0-25%
All Sources,F1100/F24,0.179±0.55, 140, 0-25%
All Sources,F1100/F12,1.306±1.961, 129, 0-25%
All Sources,F1100/F8,0.38±0.629, 159, 0-25%
All Sources,F870/F500,-0.777±-1.215, 353, 0-25%
All Sources,F870/F350,-1.208±-1.108, 378, 0-25%
All Sources,F870/F250,-1.721±-2.0, 378, 0-25%
All Sources,F870/F160,-1.244±-0.109, 378, 0-25%
All Sources,F870/F70,-1.678±-1.509, 325, 0-25%
All Sources,F870/F24,0.222±0.941, 246, 0-25%
All Sources,F870/F12,1.176±1.841, 261, 0-25%
All Sources,F870/F8,0.371±0.672, 307, 0-25%
All Sources,F500/F350,-0.424±-1.066, 818, 0-25%
All Sources,F500/F250,-0.883±-1.229, 818, 0-25%
All Sources,F500/F160,-0.527±0.687, 818, 0-25%
All Sources,F500/F70,-0.652±-0.181, 706, 0-25%
All Sources,F500/F24,0.988±1.475, 617, 0-25%
All Sources,F500/F12,1.878±2.481, 591, 0-25%
All Sources,F500/F8,1.171±1.496, 667, 0-25%
All Sources,F350/F250,-0.466±-0.943, 980, 0-25%
All Sources,F350/F160,-0.204±0.955, 980, 0-25%
All Sources,F350/F70,-0.235±0.208, 849, 0-25%
All Sources,F350/F24,1.382±1.999, 748, 0-25%
All Sources,F350/F12,2.271±2.899, 706, 0-25%
All Sources,F350/F8,1.578±1.906, 796, 0-25%
All Sources,F250/F160,0.068±0.778, 980, 0-25%
All Sources,F250/F70,0.218±0.699, 849, 0-25%
All Sources,F250/F24,1.844±2.571, 748, 0-25%
All Sources,F250/F12,2.747±3.417, 706, 0-25%
All Sources,F250/F8,2.051±2.373, 796, 0-25%
All Sources,F160/F70,0.229±0.699, 849, 0-25%
All Sources,F160/F24,1.846±2.619, 748, 0-25%
All Sources,F160/F12,2.749±3.449, 706, 0-25%
All Sources,F160/F8,2.097±2.486, 796, 0-25%
All Sources,F70/F24,1.396±1.252, 695, 0-25%
All Sources,F70/F12,2.334±2.512, 678, 0-25%
All Sources,F70/F8,1.885±2.069, 739, 0-25%
All Sources,F24/F12,0.917±0.831, 629, 0-25%
All Sources,F24/F8,0.421±0.339, 648, 0-25%
All Sources,F12/F8,-0.438±-0.757, 635, 0-25%
