Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.045±-0.067, 158, 25-50%
All Sources,F1100/F500,-0.77±-0.889, 203, 25-50%
All Sources,F1100/F350,-1.161±-1.229, 210, 25-50%
All Sources,F1100/F250,-1.62±-1.658, 210, 25-50%
All Sources,F1100/F160,-1.638±-1.721, 210, 25-50%
All Sources,F1100/F70,-1.523±-1.377, 172, 25-50%
All Sources,F1100/F24,0.134±0.489, 140, 25-50%
All Sources,F1100/F12,0.855±1.171, 129, 25-50%
All Sources,F1100/F8,0.313±0.545, 159, 25-50%
All Sources,F870/F500,-0.783±-1.194, 354, 25-50%
All Sources,F870/F350,-1.215±-1.553, 379, 25-50%
All Sources,F870/F250,-1.699±-2.046, 379, 25-50%
All Sources,F870/F160,-1.699±-1.77, 379, 25-50%
All Sources,F870/F70,-1.456±-0.907, 325, 25-50%
All Sources,F870/F24,0.055±0.453, 246, 25-50%
All Sources,F870/F12,0.928±1.604, 261, 25-50%
All Sources,F870/F8,0.304±0.616, 308, 25-50%
All Sources,F500/F350,-0.388±-0.996, 819, 25-50%
All Sources,F500/F250,-0.836±-1.31, 819, 25-50%
All Sources,F500/F160,-0.839±-1.018, 819, 25-50%
All Sources,F500/F70,-0.804±0.402, 706, 25-50%
All Sources,F500/F24,0.877±1.094, 618, 25-50%
All Sources,F500/F12,1.625±2.318, 591, 25-50%
All Sources,F500/F8,0.971±1.179, 667, 25-50%
All Sources,F350/F250,-0.447±-1.004, 981, 25-50%
All Sources,F350/F160,-0.451±-0.658, 981, 25-50%
All Sources,F350/F70,-0.368±0.764, 849, 25-50%
All Sources,F350/F24,1.249±1.484, 749, 25-50%
All Sources,F350/F12,2.014±2.741, 707, 25-50%
All Sources,F350/F8,1.361±1.552, 797, 25-50%
All Sources,F250/F160,0.004±-0.158, 981, 25-50%
All Sources,F250/F70,0.082±1.272, 849, 25-50%
All Sources,F250/F24,1.708±1.989, 749, 25-50%
All Sources,F250/F12,2.496±3.257, 707, 25-50%
All Sources,F250/F8,1.842±2.041, 797, 25-50%
All Sources,F160/F70,0.149±1.254, 849, 25-50%
All Sources,F160/F24,1.74±1.999, 749, 25-50%
All Sources,F160/F12,2.511±3.254, 707, 25-50%
All Sources,F160/F8,1.862±2.066, 797, 25-50%
All Sources,F70/F24,1.417±1.23, 695, 25-50%
All Sources,F70/F12,2.117±2.412, 678, 25-50%
All Sources,F70/F8,1.631±1.81, 740, 25-50%
All Sources,F24/F12,0.754±0.722, 629, 25-50%
All Sources,F24/F8,0.265±0.262, 649, 25-50%
All Sources,F12/F8,-0.457±-0.842, 635, 25-50%
