Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.039±-0.027, 158, 25-50%
All Sources,F1100/F500,-0.796±-0.996, 203, 25-50%
All Sources,F1100/F350,-1.187±-1.319, 210, 25-50%
All Sources,F1100/F250,-1.638±-1.721, 210, 25-50%
All Sources,F1100/F160,-1.602±-1.585, 210, 25-50%
All Sources,F1100/F70,-1.432±-1.252, 172, 25-50%
All Sources,F1100/F24,0.087±0.45, 140, 25-50%
All Sources,F1100/F12,1.041±1.84, 129, 25-50%
All Sources,F1100/F8,0.267±0.537, 159, 25-50%
All Sources,F870/F500,-0.78±-1.137, 354, 25-50%
All Sources,F870/F350,-1.18±-1.167, 379, 25-50%
All Sources,F870/F250,-1.658±-1.796, 379, 25-50%
All Sources,F870/F160,-1.658±-1.721, 379, 25-50%
All Sources,F870/F70,-1.523±-1.469, 325, 25-50%
All Sources,F870/F24,-0.038±0.267, 246, 25-50%
All Sources,F870/F12,0.851±1.549, 261, 25-50%
All Sources,F870/F8,0.211±0.33, 308, 25-50%
All Sources,F500/F350,-0.386±-0.991, 819, 25-50%
All Sources,F500/F250,-0.824±-1.201, 819, 25-50%
All Sources,F500/F160,-0.777±-0.845, 819, 25-50%
All Sources,F500/F70,-0.567±-0.212, 706, 25-50%
All Sources,F500/F24,0.837±1.112, 618, 25-50%
All Sources,F500/F12,1.584±2.22, 591, 25-50%
All Sources,F500/F8,0.975±1.185, 667, 25-50%
All Sources,F350/F250,-0.439±-0.879, 981, 25-50%
All Sources,F350/F160,-0.403±-0.481, 981, 25-50%
All Sources,F350/F70,-0.208±0.071, 849, 25-50%
All Sources,F350/F24,1.207±1.416, 749, 25-50%
All Sources,F350/F12,1.967±2.673, 707, 25-50%
All Sources,F350/F8,1.352±1.607, 797, 25-50%
All Sources,F250/F160,0.032±-0.084, 981, 25-50%
All Sources,F250/F70,0.229±0.439, 849, 25-50%
All Sources,F250/F24,1.653±1.871, 749, 25-50%
All Sources,F250/F12,2.445±3.24, 707, 25-50%
All Sources,F250/F8,1.826±2.128, 797, 25-50%
All Sources,F160/F70,0.205±0.308, 849, 25-50%
All Sources,F160/F24,1.631±1.788, 749, 25-50%
All Sources,F160/F12,2.469±3.323, 707, 25-50%
All Sources,F160/F8,1.854±2.216, 797, 25-50%
All Sources,F70/F24,1.403±1.201, 695, 25-50%
All Sources,F70/F12,2.128±2.276, 678, 25-50%
All Sources,F70/F8,1.69±1.989, 740, 25-50%
All Sources,F24/F12,0.721±0.7, 629, 25-50%
All Sources,F24/F8,0.23±0.177, 649, 25-50%
All Sources,F12/F8,-0.455±-0.893, 635, 25-50%
