Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.006±-0.11, 158, 75-100%
All Sources,F1100/F500,-0.883±-1.076, 203, 75-100%
All Sources,F1100/F350,-1.215±-1.328, 210, 75-100%
All Sources,F1100/F250,-1.553±-1.569, 210, 75-100%
All Sources,F1100/F160,-1.31±-1.119, 210, 75-100%
All Sources,F1100/F70,-0.799±-0.635, 172, 75-100%
All Sources,F1100/F24,0.766±1.084, 141, 75-100%
All Sources,F1100/F12,1.439±2.004, 129, 75-100%
All Sources,F1100/F8,0.728±0.878, 159, 75-100%
All Sources,F870/F500,-0.807±-1.131, 354, 75-100%
All Sources,F870/F350,-1.18±-1.569, 379, 75-100%
All Sources,F870/F250,-1.553±-1.854, 379, 75-100%
All Sources,F870/F160,-1.319±-1.301, 379, 75-100%
All Sources,F870/F70,-0.827±-0.625, 326, 75-100%
All Sources,F870/F24,0.726±0.907, 247, 75-100%
All Sources,F870/F12,1.441±1.786, 261, 75-100%
All Sources,F870/F8,0.708±0.804, 308, 75-100%
All Sources,F500/F350,-0.329±-0.924, 819, 75-100%
All Sources,F500/F250,-0.662±-1.004, 819, 75-100%
All Sources,F500/F160,-0.401±-0.3, 819, 75-100%
All Sources,F500/F70,0.075±0.421, 707, 75-100%
All Sources,F500/F24,1.583±1.752, 618, 75-100%
All Sources,F500/F12,1.961±2.621, 591, 75-100%
All Sources,F500/F8,1.437±1.548, 668, 75-100%
All Sources,F350/F250,-0.339±-0.783, 981, 75-100%
All Sources,F350/F160,-0.099±-0.062, 981, 75-100%
All Sources,F350/F70,0.394±0.721, 850, 75-100%
All Sources,F350/F24,1.877±1.98, 749, 75-100%
All Sources,F350/F12,2.318±2.789, 707, 75-100%
All Sources,F350/F8,1.751±1.874, 797, 75-100%
All Sources,F250/F160,0.231±0.264, 981, 75-100%
All Sources,F250/F70,0.742±0.918, 850, 75-100%
All Sources,F250/F24,2.216±2.299, 749, 75-100%
All Sources,F250/F12,2.683±3.07, 707, 75-100%
All Sources,F250/F8,2.095±2.197, 797, 75-100%
All Sources,F160/F70,0.579±0.617, 850, 75-100%
All Sources,F160/F24,2.033±1.96, 749, 75-100%
All Sources,F160/F12,2.547±2.911, 707, 75-100%
All Sources,F160/F8,1.968±2.309, 797, 75-100%
All Sources,F70/F24,1.455±1.212, 696, 75-100%
All Sources,F70/F12,1.96±2.133, 678, 75-100%
All Sources,F70/F8,1.428±1.752, 740, 75-100%
All Sources,F24/F12,0.55±0.635, 630, 75-100%
All Sources,F24/F8,-0.013±0.136, 649, 75-100%
All Sources,F12/F8,-0.499±-0.451, 635, 75-100%
