Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.061±-0.085, 157, 0-25%
All Sources,F1100/F500,-0.726±-0.889, 202, 0-25%
All Sources,F1100/F350,-1.155±-1.292, 209, 0-25%
All Sources,F1100/F250,-1.602±-1.62, 209, 0-25%
All Sources,F1100/F160,-1.051±-0.035, 209, 0-25%
All Sources,F1100/F70,-1.62±-1.495, 171, 0-25%
All Sources,F1100/F24,-0.278±-0.131, 140, 0-25%
All Sources,F1100/F12,0.586±0.732, 129, 0-25%
All Sources,F1100/F8,0.076±0.162, 159, 0-25%
All Sources,F870/F500,-0.772±-1.187, 353, 0-25%
All Sources,F870/F350,-1.187±-1.097, 378, 0-25%
All Sources,F870/F250,-1.699±-1.959, 378, 0-25%
All Sources,F870/F160,-1.222±-0.109, 378, 0-25%
All Sources,F870/F70,-1.638±-1.398, 325, 0-25%
All Sources,F870/F24,-0.343±-0.246, 246, 0-25%
All Sources,F870/F12,0.53±0.646, 261, 0-25%
All Sources,F870/F8,0.021±0.063, 307, 0-25%
All Sources,F500/F350,-0.406±-0.943, 818, 0-25%
All Sources,F500/F250,-0.854±-1.125, 818, 0-25%
All Sources,F500/F160,-0.467±0.689, 818, 0-25%
All Sources,F500/F70,-0.987±0.4, 706, 0-25%
All Sources,F500/F24,0.539±0.829, 617, 0-25%
All Sources,F500/F12,1.299±1.615, 591, 0-25%
All Sources,F500/F8,0.821±0.859, 667, 0-25%
All Sources,F350/F250,-0.453±-0.767, 980, 0-25%
All Sources,F350/F160,-0.158±0.957, 980, 0-25%
All Sources,F350/F70,-0.567±0.756, 849, 0-25%
All Sources,F350/F24,0.895±1.155, 748, 0-25%
All Sources,F350/F12,1.71±2.052, 706, 0-25%
All Sources,F350/F8,1.213±1.262, 796, 0-25%
All Sources,F250/F160,0.107±0.79, 980, 0-25%
All Sources,F250/F70,-0.144±1.266, 849, 0-25%
All Sources,F250/F24,1.345±1.612, 748, 0-25%
All Sources,F250/F12,2.178±2.53, 706, 0-25%
All Sources,F250/F8,1.701±1.771, 796, 0-25%
All Sources,F160/F70,-0.211±1.24, 849, 0-25%
All Sources,F160/F24,1.307±1.501, 748, 0-25%
All Sources,F160/F12,2.169±2.385, 706, 0-25%
All Sources,F160/F8,1.728±1.77, 796, 0-25%
All Sources,F70/F24,1.173±0.903, 695, 0-25%
All Sources,F70/F12,2.102±2.105, 678, 0-25%
All Sources,F70/F8,1.698±1.727, 739, 0-25%
All Sources,F24/F12,0.894±0.726, 629, 0-25%
All Sources,F24/F8,0.479±0.396, 648, 0-25%
All Sources,F12/F8,-0.396±-0.688, 635, 0-25%
