Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.018±-0.188, 158, 25-50%
All Sources,F1100/F500,-0.818±-1.009, 203, 25-50%
All Sources,F1100/F350,-1.208±-1.337, 210, 25-50%
All Sources,F1100/F250,-1.638±-1.77, 210, 25-50%
All Sources,F1100/F160,-1.041±-0.036, 210, 25-50%
All Sources,F1100/F70,-1.201±-1.0, 172, 25-50%
All Sources,F1100/F24,0.335±0.532, 140, 25-50%
All Sources,F1100/F12,1.141±1.627, 129, 25-50%
All Sources,F1100/F8,0.451±0.622, 159, 25-50%
All Sources,F870/F500,-0.799±-1.229, 354, 25-50%
All Sources,F870/F350,-1.222±-1.602, 379, 25-50%
All Sources,F870/F250,-1.658±-1.959, 379, 25-50%
All Sources,F870/F160,-1.167±-0.11, 379, 25-50%
All Sources,F870/F70,-1.149±-0.724, 325, 25-50%
All Sources,F870/F24,0.359±0.633, 246, 25-50%
All Sources,F870/F12,1.131±1.715, 261, 25-50%
All Sources,F870/F8,0.399±0.561, 308, 25-50%
All Sources,F500/F350,-0.373±-0.971, 819, 25-50%
All Sources,F500/F250,-0.764±-1.097, 819, 25-50%
All Sources,F500/F160,-0.602±-0.492, 819, 25-50%
All Sources,F500/F70,-0.254±0.397, 706, 25-50%
All Sources,F500/F24,1.225±1.577, 618, 25-50%
All Sources,F500/F12,1.698±1.911, 591, 25-50%
All Sources,F500/F8,1.145±1.322, 667, 25-50%
All Sources,F350/F250,-0.398±-0.821, 981, 25-50%
All Sources,F350/F160,-0.249±-0.192, 981, 25-50%
All Sources,F350/F70,0.102±0.709, 849, 25-50%
All Sources,F350/F24,1.556±1.803, 749, 25-50%
All Sources,F350/F12,2.051±2.275, 707, 25-50%
All Sources,F350/F8,1.495±1.655, 797, 25-50%
All Sources,F250/F160,0.127±0.059, 981, 25-50%
All Sources,F250/F70,0.505±0.928, 849, 25-50%
All Sources,F250/F24,1.931±2.14, 749, 25-50%
All Sources,F250/F12,2.46±2.688, 707, 25-50%
All Sources,F250/F8,1.9±2.057, 797, 25-50%
All Sources,F160/F70,0.354±0.572, 849, 25-50%
All Sources,F160/F24,1.784±1.882, 749, 25-50%
All Sources,F160/F12,2.381±2.592, 707, 25-50%
All Sources,F160/F8,1.821±1.99, 797, 25-50%
All Sources,F70/F24,1.397±1.223, 695, 25-50%
All Sources,F70/F12,2.082±2.192, 678, 25-50%
All Sources,F70/F8,1.548±1.667, 740, 25-50%
All Sources,F24/F12,0.728±0.733, 629, 25-50%
All Sources,F24/F8,0.216±0.298, 649, 25-50%
All Sources,F12/F8,-0.478±-0.785, 635, 25-50%
