Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.101±0.075, 157, 0-25%
All Sources,F1100/F500,-0.845±-0.991, 202, 0-25%
All Sources,F1100/F350,-1.208±-1.328, 209, 0-25%
All Sources,F1100/F250,-1.602±-1.721, 209, 0-25%
All Sources,F1100/F160,-1.367±-1.125, 209, 0-25%
All Sources,F1100/F70,-1.066±-0.848, 171, 0-25%
All Sources,F1100/F24,0.477±0.621, 140, 0-25%
All Sources,F1100/F12,1.283±1.689, 129, 0-25%
All Sources,F1100/F8,0.512±0.771, 159, 0-25%
All Sources,F870/F500,-0.848±-1.208, 353, 0-25%
All Sources,F870/F350,-1.208±-1.092, 378, 0-25%
All Sources,F870/F250,-1.658±-1.921, 378, 0-25%
All Sources,F870/F160,-1.495±-1.398, 378, 0-25%
All Sources,F870/F70,-1.208±-1.041, 325, 0-25%
All Sources,F870/F24,0.368±0.546, 246, 0-25%
All Sources,F870/F12,0.997±1.241, 261, 0-25%
All Sources,F870/F8,0.371±0.477, 307, 0-25%
All Sources,F500/F350,-0.357±-0.943, 818, 0-25%
All Sources,F500/F250,-0.742±-1.125, 818, 0-25%
All Sources,F500/F160,-0.524±-0.344, 818, 0-25%
All Sources,F500/F70,-0.198±0.373, 706, 0-25%
All Sources,F500/F24,1.344±1.618, 617, 0-25%
All Sources,F500/F12,1.796±2.174, 591, 0-25%
All Sources,F500/F8,1.229±1.446, 667, 0-25%
All Sources,F350/F250,-0.393±-0.876, 980, 0-25%
All Sources,F350/F160,-0.198±-0.119, 980, 0-25%
All Sources,F350/F70,0.142±0.685, 849, 0-25%
All Sources,F350/F24,1.655±1.884, 748, 0-25%
All Sources,F350/F12,2.123±2.45, 706, 0-25%
All Sources,F350/F8,1.558±1.721, 796, 0-25%
All Sources,F250/F160,0.18±0.24, 980, 0-25%
All Sources,F250/F70,0.53±0.881, 849, 0-25%
All Sources,F250/F24,2.018±2.222, 748, 0-25%
All Sources,F250/F12,2.485±2.74, 706, 0-25%
All Sources,F250/F8,1.945±2.078, 796, 0-25%
All Sources,F160/F70,0.36±0.497, 849, 0-25%
All Sources,F160/F24,1.83±1.829, 748, 0-25%
All Sources,F160/F12,2.339±2.518, 706, 0-25%
All Sources,F160/F8,1.813±1.89, 796, 0-25%
All Sources,F70/F24,1.435±1.185, 695, 0-25%
All Sources,F70/F12,2.027±2.074, 678, 0-25%
All Sources,F70/F8,1.549±1.577, 739, 0-25%
All Sources,F24/F12,0.664±0.652, 629, 0-25%
All Sources,F24/F8,0.181±0.214, 648, 0-25%
All Sources,F12/F8,-0.469±-0.674, 635, 0-25%
