Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.007±-0.198, 157, 0-25%
All Sources,F1100/F500,-0.752±-0.939, 202, 0-25%
All Sources,F1100/F350,-1.215±-1.347, 209, 0-25%
All Sources,F1100/F250,-1.745±-1.77, 209, 0-25%
All Sources,F1100/F160,-1.921±-2.097, 209, 0-25%
All Sources,F1100/F70,-1.854±-1.796, 171, 0-25%
All Sources,F1100/F24,0.135±0.547, 140, 0-25%
All Sources,F1100/F12,1.123±1.85, 129, 0-25%
All Sources,F1100/F8,0.309±0.642, 159, 0-25%
All Sources,F870/F500,-0.754±-1.137, 353, 0-25%
All Sources,F870/F350,-1.187±-1.022, 378, 0-25%
All Sources,F870/F250,-1.77±-1.959, 378, 0-25%
All Sources,F870/F160,-1.921±-2.222, 378, 0-25%
All Sources,F870/F70,-1.585±-0.903, 325, 0-25%
All Sources,F870/F24,0.193±0.944, 246, 0-25%
All Sources,F870/F12,1.142±1.76, 261, 0-25%
All Sources,F870/F8,0.424±0.754, 307, 0-25%
All Sources,F500/F350,-0.441±-1.056, 818, 0-25%
All Sources,F500/F250,-0.943±-1.328, 818, 0-25%
All Sources,F500/F160,-1.102±-1.569, 818, 0-25%
All Sources,F500/F70,-0.812±-0.264, 706, 0-25%
All Sources,F500/F24,0.807±1.454, 617, 0-25%
All Sources,F500/F12,1.75±2.446, 591, 0-25%
All Sources,F500/F8,1.079±1.459, 667, 0-25%
All Sources,F350/F250,-0.507±-0.996, 980, 0-25%
All Sources,F350/F160,-0.676±-1.155, 980, 0-25%
All Sources,F350/F70,-0.388±0.157, 849, 0-25%
All Sources,F350/F24,1.232±1.993, 748, 0-25%
All Sources,F350/F12,2.159±2.888, 706, 0-25%
All Sources,F350/F8,1.488±1.915, 796, 0-25%
All Sources,F250/F160,-0.149±-0.644, 980, 0-25%
All Sources,F250/F70,0.128±0.683, 849, 0-25%
All Sources,F250/F24,1.752±2.572, 748, 0-25%
All Sources,F250/F12,2.674±3.416, 706, 0-25%
All Sources,F250/F8,2.0±2.409, 796, 0-25%
All Sources,F160/F70,0.282±0.719, 849, 0-25%
All Sources,F160/F24,1.862±2.623, 748, 0-25%
All Sources,F160/F12,2.741±3.454, 706, 0-25%
All Sources,F160/F8,2.116±2.518, 796, 0-25%
All Sources,F70/F24,1.397±1.317, 695, 0-25%
All Sources,F70/F12,2.313±2.573, 678, 0-25%
All Sources,F70/F8,1.901±2.178, 739, 0-25%
All Sources,F24/F12,0.86±0.805, 629, 0-25%
All Sources,F24/F8,0.409±0.389, 648, 0-25%
All Sources,F12/F8,-0.416±-0.759, 635, 0-25%
