Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.089±0.076, 158, 75-100%
All Sources,F1100/F500,-0.857±-0.996, 203, 75-100%
All Sources,F1100/F350,-1.18±-1.237, 210, 75-100%
All Sources,F1100/F250,-1.602±-1.553, 210, 75-100%
All Sources,F1100/F160,-1.602±-1.602, 210, 75-100%
All Sources,F1100/F70,-1.237±-0.921, 172, 75-100%
All Sources,F1100/F24,0.127±0.355, 141, 75-100%
All Sources,F1100/F12,0.733±1.058, 129, 75-100%
All Sources,F1100/F8,0.07±0.23, 159, 75-100%
All Sources,F870/F500,-0.812±-1.036, 354, 75-100%
All Sources,F870/F350,-1.18±-1.108, 379, 75-100%
All Sources,F870/F250,-1.658±-1.886, 379, 75-100%
All Sources,F870/F160,-1.62±-1.62, 379, 75-100%
All Sources,F870/F70,-1.337±-1.229, 326, 75-100%
All Sources,F870/F24,0.165±0.362, 247, 75-100%
All Sources,F870/F12,0.73±1.034, 261, 75-100%
All Sources,F870/F8,0.074±0.076, 308, 75-100%
All Sources,F500/F350,-0.347±-0.907, 819, 75-100%
All Sources,F500/F250,-0.762±-1.174, 819, 75-100%
All Sources,F500/F160,-0.717±-0.818, 819, 75-100%
All Sources,F500/F70,-0.368±0.343, 707, 75-100%
All Sources,F500/F24,1.081±1.265, 618, 75-100%
All Sources,F500/F12,1.346±1.654, 591, 75-100%
All Sources,F500/F8,0.965±1.207, 668, 75-100%
All Sources,F350/F250,-0.428±-0.928, 981, 75-100%
All Sources,F350/F160,-0.399±-0.453, 981, 75-100%
All Sources,F350/F70,0.033±0.201, 850, 75-100%
All Sources,F350/F24,1.393±1.508, 749, 75-100%
All Sources,F350/F12,1.696±1.847, 707, 75-100%
All Sources,F350/F8,1.266±1.488, 797, 75-100%
All Sources,F250/F160,0.033±-0.079, 981, 75-100%
All Sources,F250/F70,0.464±0.64, 850, 75-100%
All Sources,F250/F24,1.833±1.97, 749, 75-100%
All Sources,F250/F12,2.136±2.28, 707, 75-100%
All Sources,F250/F8,1.695±1.914, 797, 75-100%
All Sources,F160/F70,0.441±0.456, 850, 75-100%
All Sources,F160/F24,1.823±1.826, 749, 75-100%
All Sources,F160/F12,2.141±2.161, 707, 75-100%
All Sources,F160/F8,1.679±1.813, 797, 75-100%
All Sources,F70/F24,1.395±1.173, 696, 75-100%
All Sources,F70/F12,1.782±1.769, 678, 75-100%
All Sources,F70/F8,1.315±1.265, 740, 75-100%
All Sources,F24/F12,0.47±0.499, 630, 75-100%
All Sources,F24/F8,0.037±0.115, 649, 75-100%
All Sources,F12/F8,-0.438±-0.447, 635, 75-100%
