Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.031±-0.077, 157, 50-75%
All Sources,F1100/F500,-0.815±-1.018, 202, 50-75%
All Sources,F1100/F350,-1.155±-1.244, 209, 50-75%
All Sources,F1100/F250,-1.585±-1.699, 209, 50-75%
All Sources,F1100/F160,-1.538±-1.699, 209, 50-75%
All Sources,F1100/F70,-1.229±-1.149, 171, 50-75%
All Sources,F1100/F24,0.302±0.393, 140, 50-75%
All Sources,F1100/F12,1.032±1.305, 129, 50-75%
All Sources,F1100/F8,0.408±0.551, 159, 50-75%
All Sources,F870/F500,-0.793±-1.174, 354, 50-75%
All Sources,F870/F350,-1.187±-1.538, 379, 50-75%
All Sources,F870/F250,-1.62±-2.0, 379, 50-75%
All Sources,F870/F160,-1.585±-1.959, 379, 50-75%
All Sources,F870/F70,-1.276±-1.149, 325, 50-75%
All Sources,F870/F24,0.223±0.379, 246, 50-75%
All Sources,F870/F12,0.944±1.265, 261, 50-75%
All Sources,F870/F8,0.346±0.505, 307, 50-75%
All Sources,F500/F350,-0.352±-1.004, 818, 50-75%
All Sources,F500/F250,-0.75±-1.31, 818, 50-75%
All Sources,F500/F160,-0.701±-1.284, 818, 50-75%
All Sources,F500/F70,-0.405±0.407, 706, 50-75%
All Sources,F500/F24,1.131±1.13, 617, 50-75%
All Sources,F500/F12,1.624±1.868, 591, 50-75%
All Sources,F500/F8,1.063±1.085, 667, 50-75%
All Sources,F350/F250,-0.398±-1.018, 981, 50-75%
All Sources,F350/F160,-0.343±-0.863, 981, 50-75%
All Sources,F350/F70,-0.036±0.765, 849, 50-75%
All Sources,F350/F24,1.477±1.491, 748, 50-75%
All Sources,F350/F12,1.985±2.228, 707, 50-75%
All Sources,F350/F8,1.417±1.465, 796, 50-75%
All Sources,F250/F160,0.077±-0.184, 981, 50-75%
All Sources,F250/F70,0.366±1.272, 849, 50-75%
All Sources,F250/F24,1.88±1.917, 748, 50-75%
All Sources,F250/F12,2.394±2.667, 707, 50-75%
All Sources,F250/F8,1.834±1.904, 796, 50-75%
All Sources,F160/F70,0.288±1.243, 849, 50-75%
All Sources,F160/F24,1.81±1.783, 748, 50-75%
All Sources,F160/F12,2.31±2.522, 707, 50-75%
All Sources,F160/F8,1.764±1.772, 796, 50-75%
All Sources,F70/F24,1.413±1.169, 695, 50-75%
All Sources,F70/F12,1.97±1.949, 678, 50-75%
All Sources,F70/F8,1.44±1.319, 739, 50-75%
All Sources,F24/F12,0.647±0.642, 629, 50-75%
All Sources,F24/F8,0.123±0.109, 649, 50-75%
All Sources,F12/F8,-0.479±-0.903, 635, 50-75%
