Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.044±-0.118, 157, 0-25%
All Sources,F1100/F500,-0.75±-0.936, 202, 0-25%
All Sources,F1100/F350,-1.174±-1.367, 209, 0-25%
All Sources,F1100/F250,-1.602±-1.721, 209, 0-25%
All Sources,F1100/F160,-0.996±-0.035, 209, 0-25%
All Sources,F1100/F70,-1.119±-0.738, 171, 0-25%
All Sources,F1100/F24,0.646±1.081, 140, 0-25%
All Sources,F1100/F12,1.518±1.992, 129, 0-25%
All Sources,F1100/F8,0.736±0.9, 159, 0-25%
All Sources,F870/F500,-0.764±-1.244, 353, 0-25%
All Sources,F870/F350,-1.174±-1.108, 378, 0-25%
All Sources,F870/F250,-1.638±-1.886, 378, 0-25%
All Sources,F870/F160,-1.155±-0.109, 378, 0-25%
All Sources,F870/F70,-1.114±-0.65, 325, 0-25%
All Sources,F870/F24,0.581±1.061, 246, 0-25%
All Sources,F870/F12,1.425±1.861, 261, 0-25%
All Sources,F870/F8,0.668±0.827, 307, 0-25%
All Sources,F500/F350,-0.407±-1.004, 818, 0-25%
All Sources,F500/F250,-0.818±-1.097, 818, 0-25%
All Sources,F500/F160,-0.39±0.689, 818, 0-25%
All Sources,F500/F70,-0.265±0.18, 706, 0-25%
All Sources,F500/F24,1.324±1.719, 617, 0-25%
All Sources,F500/F12,2.016±2.693, 591, 0-25%
All Sources,F500/F8,1.372±1.572, 667, 0-25%
All Sources,F350/F250,-0.418±-0.83, 980, 0-25%
All Sources,F350/F160,-0.068±0.956, 980, 0-25%
All Sources,F350/F70,0.092±0.497, 849, 0-25%
All Sources,F350/F24,1.654±2.078, 748, 0-25%
All Sources,F350/F12,2.416±2.98, 706, 0-25%
All Sources,F350/F8,1.747±1.975, 796, 0-25%
All Sources,F250/F160,0.196±0.795, 980, 0-25%
All Sources,F250/F70,0.471±0.879, 849, 0-25%
All Sources,F250/F24,2.038±2.595, 748, 0-25%
All Sources,F250/F12,2.866±3.445, 706, 0-25%
All Sources,F250/F8,2.179±2.432, 796, 0-25%
All Sources,F160/F70,0.346±0.766, 849, 0-25%
All Sources,F160/F24,1.908±2.623, 748, 0-25%
All Sources,F160/F12,2.822±3.461, 706, 0-25%
All Sources,F160/F8,2.167±2.524, 796, 0-25%
All Sources,F70/F24,1.389±1.285, 695, 0-25%
All Sources,F70/F12,2.367±2.577, 678, 0-25%
All Sources,F70/F8,1.907±2.183, 739, 0-25%
All Sources,F24/F12,0.935±0.833, 629, 0-25%
All Sources,F24/F8,0.407±0.376, 648, 0-25%
All Sources,F12/F8,-0.479±-0.788, 635, 0-25%
