Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,-0.016±-0.223, 158, 25-50%
All Sources,F1100/F500,-0.777±-0.971, 203, 25-50%
All Sources,F1100/F350,-1.18±-1.347, 210, 25-50%
All Sources,F1100/F250,-1.602±-1.699, 210, 25-50%
All Sources,F1100/F160,-1.444±-1.167, 210, 25-50%
All Sources,F1100/F70,-1.097±-0.879, 172, 25-50%
All Sources,F1100/F24,0.378±0.652, 140, 25-50%
All Sources,F1100/F12,0.964±1.86, 129, 25-50%
All Sources,F1100/F8,0.464±0.566, 159, 25-50%
All Sources,F870/F500,-0.77±-1.215, 354, 25-50%
All Sources,F870/F350,-1.194±-1.658, 379, 25-50%
All Sources,F870/F250,-1.638±-1.959, 379, 25-50%
All Sources,F870/F160,-1.509±-1.523, 379, 25-50%
All Sources,F870/F70,-1.187±-0.983, 325, 25-50%
All Sources,F870/F24,0.327±0.509, 246, 25-50%
All Sources,F870/F12,1.059±1.544, 261, 25-50%
All Sources,F870/F8,0.421±0.528, 308, 25-50%
All Sources,F500/F350,-0.367±-0.959, 819, 25-50%
All Sources,F500/F250,-0.75±-1.06, 819, 25-50%
All Sources,F500/F160,-0.548±-0.341, 819, 25-50%
All Sources,F500/F70,-0.191±0.097, 706, 25-50%
All Sources,F500/F24,1.22±1.601, 618, 25-50%
All Sources,F500/F12,1.718±2.122, 591, 25-50%
All Sources,F500/F8,1.163±1.306, 667, 25-50%
All Sources,F350/F250,-0.389±-0.78, 981, 25-50%
All Sources,F350/F160,-0.231±-0.169, 981, 25-50%
All Sources,F350/F70,0.052±0.786, 849, 25-50%
All Sources,F350/F24,1.561±1.882, 749, 25-50%
All Sources,F350/F12,2.037±2.425, 707, 25-50%
All Sources,F350/F8,1.498±1.588, 797, 25-50%
All Sources,F250/F160,0.14±0.178, 981, 25-50%
All Sources,F250/F70,0.367±1.272, 849, 25-50%
All Sources,F250/F24,1.904±2.192, 749, 25-50%
All Sources,F250/F12,2.418±2.814, 707, 25-50%
All Sources,F250/F8,1.884±1.917, 797, 25-50%
All Sources,F160/F70,0.153±1.24, 849, 25-50%
All Sources,F160/F24,1.721±1.809, 749, 25-50%
All Sources,F160/F12,2.295±2.637, 707, 25-50%
All Sources,F160/F8,1.786±1.733, 797, 25-50%
All Sources,F70/F24,1.387±1.234, 695, 25-50%
All Sources,F70/F12,2.034±2.254, 678, 25-50%
All Sources,F70/F8,1.564±1.464, 740, 25-50%
All Sources,F24/F12,0.739±0.87, 629, 25-50%
All Sources,F24/F8,0.277±0.297, 649, 25-50%
All Sources,F12/F8,-0.457±-0.762, 635, 25-50%
