Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.03±-0.115, 157, 50-75%
All Sources,F1100/F500,-0.79±-1.0, 202, 50-75%
All Sources,F1100/F350,-1.149±-1.284, 209, 50-75%
All Sources,F1100/F250,-1.569±-1.721, 209, 50-75%
All Sources,F1100/F160,-1.495±-1.638, 209, 50-75%
All Sources,F1100/F70,-1.215±-1.201, 171, 50-75%
All Sources,F1100/F24,0.284±0.386, 140, 50-75%
All Sources,F1100/F12,1.223±1.577, 129, 50-75%
All Sources,F1100/F8,0.53±0.699, 159, 50-75%
All Sources,F870/F500,-0.78±-1.114, 354, 50-75%
All Sources,F870/F350,-1.18±-1.509, 379, 50-75%
All Sources,F870/F250,-1.62±-1.959, 379, 50-75%
All Sources,F870/F160,-1.553±-1.745, 379, 50-75%
All Sources,F870/F70,-1.26±-1.174, 325, 50-75%
All Sources,F870/F24,0.245±0.282, 246, 50-75%
All Sources,F870/F12,1.114±1.452, 261, 50-75%
All Sources,F870/F8,0.418±0.602, 307, 50-75%
All Sources,F500/F350,-0.356±-1.027, 818, 50-75%
All Sources,F500/F250,-0.754±-1.292, 818, 50-75%
All Sources,F500/F160,-0.684±-1.097, 818, 50-75%
All Sources,F500/F70,-0.34±-0.36, 706, 50-75%
All Sources,F500/F24,1.117±1.065, 617, 50-75%
All Sources,F500/F12,1.694±2.167, 591, 50-75%
All Sources,F500/F8,1.112±1.265, 667, 50-75%
All Sources,F350/F250,-0.401±-0.987, 981, 50-75%
All Sources,F350/F160,-0.326±-0.69, 981, 50-75%
All Sources,F350/F70,0.025±0.027, 849, 50-75%
All Sources,F350/F24,1.458±1.403, 748, 50-75%
All Sources,F350/F12,2.07±2.509, 707, 50-75%
All Sources,F350/F8,1.47±1.647, 796, 50-75%
All Sources,F250/F160,0.095±-0.118, 981, 50-75%
All Sources,F250/F70,0.455±0.586, 849, 50-75%
All Sources,F250/F24,1.865±1.825, 748, 50-75%
All Sources,F250/F12,2.491±2.934, 707, 50-75%
All Sources,F250/F8,1.897±2.088, 796, 50-75%
All Sources,F160/F70,0.401±0.432, 849, 50-75%
All Sources,F160/F24,1.815±1.781, 748, 50-75%
All Sources,F160/F12,2.429±2.866, 707, 50-75%
All Sources,F160/F8,1.829±2.05, 796, 50-75%
All Sources,F70/F24,1.428±1.201, 695, 50-75%
All Sources,F70/F12,1.994±2.299, 678, 50-75%
All Sources,F70/F8,1.445±1.479, 739, 50-75%
All Sources,F24/F12,0.641±0.877, 629, 50-75%
All Sources,F24/F8,0.128±0.133, 649, 50-75%
All Sources,F12/F8,-0.504±-0.456, 635, 50-75%
