Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,-0.006±-0.216, 158, 75-100%
All Sources,F1100/F500,-0.79±-0.928, 203, 75-100%
All Sources,F1100/F350,-1.18±-1.284, 210, 75-100%
All Sources,F1100/F250,-1.62±-1.62, 210, 75-100%
All Sources,F1100/F160,-1.638±-1.699, 210, 75-100%
All Sources,F1100/F70,-1.347±-1.076, 172, 75-100%
All Sources,F1100/F24,0.115±0.35, 141, 75-100%
All Sources,F1100/F12,0.917±1.271, 129, 75-100%
All Sources,F1100/F8,0.249±0.492, 159, 75-100%
All Sources,F870/F500,-0.745±-1.056, 354, 75-100%
All Sources,F870/F350,-1.125±-1.013, 379, 75-100%
All Sources,F870/F250,-1.62±-1.77, 379, 75-100%
All Sources,F870/F160,-1.602±-1.658, 379, 75-100%
All Sources,F870/F70,-1.301±-1.102, 326, 75-100%
All Sources,F870/F24,0.173±0.351, 247, 75-100%
All Sources,F870/F12,0.911±1.281, 261, 75-100%
All Sources,F870/F8,0.262±0.485, 308, 75-100%
All Sources,F500/F350,-0.367±-0.924, 819, 75-100%
All Sources,F500/F250,-0.793±-1.161, 819, 75-100%
All Sources,F500/F160,-0.762±-0.848, 819, 75-100%
All Sources,F500/F70,-0.415±-0.075, 707, 75-100%
All Sources,F500/F24,0.964±1.074, 618, 75-100%
All Sources,F500/F12,1.465±1.836, 591, 75-100%
All Sources,F500/F8,0.925±1.087, 668, 75-100%
All Sources,F350/F250,-0.44±-0.959, 981, 75-100%
All Sources,F350/F160,-0.433±-0.561, 981, 75-100%
All Sources,F350/F70,-0.06±0.196, 850, 75-100%
All Sources,F350/F24,1.322±1.446, 749, 75-100%
All Sources,F350/F12,1.809±2.227, 707, 75-100%
All Sources,F350/F8,1.25±1.426, 797, 75-100%
All Sources,F250/F160,0.006±-0.106, 981, 75-100%
All Sources,F250/F70,0.368±0.592, 850, 75-100%
All Sources,F250/F24,1.752±1.855, 749, 75-100%
All Sources,F250/F12,2.251±2.671, 707, 75-100%
All Sources,F250/F8,1.694±1.851, 797, 75-100%
All Sources,F160/F70,0.376±0.555, 850, 75-100%
All Sources,F160/F24,1.762±1.845, 749, 75-100%
All Sources,F160/F12,2.259±2.654, 707, 75-100%
All Sources,F160/F8,1.716±1.853, 797, 75-100%
All Sources,F70/F24,1.374±1.239, 696, 75-100%
All Sources,F70/F12,1.927±1.931, 678, 75-100%
All Sources,F70/F8,1.458±1.509, 740, 75-100%
All Sources,F24/F12,0.609±0.602, 630, 75-100%
All Sources,F24/F8,0.172±0.258, 649, 75-100%
All Sources,F12/F8,-0.44±-0.446, 635, 75-100%
