Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.035±-0.135, 157, 50-75%
All Sources,F1100/F500,-0.764±-0.914, 202, 50-75%
All Sources,F1100/F350,-1.149±-1.244, 209, 50-75%
All Sources,F1100/F250,-1.553±-1.569, 209, 50-75%
All Sources,F1100/F160,-1.523±-1.495, 209, 50-75%
All Sources,F1100/F70,-1.237±-1.071, 171, 50-75%
All Sources,F1100/F24,0.345±0.698, 140, 50-75%
All Sources,F1100/F12,1.071±1.39, 129, 50-75%
All Sources,F1100/F8,0.456±0.627, 159, 50-75%
All Sources,F870/F500,-0.775±-1.194, 354, 50-75%
All Sources,F870/F350,-1.149±-1.137, 379, 50-75%
All Sources,F870/F250,-1.602±-1.854, 379, 50-75%
All Sources,F870/F160,-1.509±-1.469, 379, 50-75%
All Sources,F870/F70,-1.187±-0.836, 325, 50-75%
All Sources,F870/F24,0.457±0.961, 246, 50-75%
All Sources,F870/F12,1.119±1.648, 261, 50-75%
All Sources,F870/F8,0.469±0.725, 307, 50-75%
All Sources,F500/F350,-0.369±-0.967, 818, 50-75%
All Sources,F500/F250,-0.757±-1.032, 818, 50-75%
All Sources,F500/F160,-0.64±-0.587, 818, 50-75%
All Sources,F500/F70,-0.357±0.446, 706, 50-75%
All Sources,F500/F24,1.187±1.544, 617, 50-75%
All Sources,F500/F12,1.718±2.332, 591, 50-75%
All Sources,F500/F8,1.142±1.392, 667, 50-75%
All Sources,F350/F250,-0.394±-0.706, 981, 50-75%
All Sources,F350/F160,-0.281±-0.076, 981, 50-75%
All Sources,F350/F70,-0.004±0.8, 849, 50-75%
All Sources,F350/F24,1.54±2.024, 748, 50-75%
All Sources,F350/F12,2.093±2.733, 707, 50-75%
All Sources,F350/F8,1.501±1.807, 796, 50-75%
All Sources,F250/F160,0.081±-0.063, 981, 50-75%
All Sources,F250/F70,0.34±1.286, 849, 50-75%
All Sources,F250/F24,1.937±2.573, 748, 50-75%
All Sources,F250/F12,2.521±3.225, 707, 50-75%
All Sources,F250/F8,1.914±2.298, 796, 50-75%
All Sources,F160/F70,0.245±1.257, 849, 50-75%
All Sources,F160/F24,1.886±2.616, 748, 50-75%
All Sources,F160/F12,2.478±3.201, 707, 50-75%
All Sources,F160/F8,1.883±2.332, 796, 50-75%
All Sources,F70/F24,1.387±1.24, 695, 50-75%
All Sources,F70/F12,2.074±2.4, 678, 50-75%
All Sources,F70/F8,1.603±1.991, 739, 50-75%
All Sources,F24/F12,0.711±0.884, 629, 50-75%
All Sources,F24/F8,0.224±0.271, 649, 50-75%
All Sources,F12/F8,-0.479±-0.445, 635, 50-75%
