Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.061±0.003, 157, 0-25%
All Sources,F1100/F500,-0.747±-0.921, 202, 0-25%
All Sources,F1100/F350,-1.208±-1.347, 209, 0-25%
All Sources,F1100/F250,-1.699±-1.678, 209, 0-25%
All Sources,F1100/F160,-1.108±-0.035, 209, 0-25%
All Sources,F1100/F70,-1.886±-1.921, 171, 0-25%
All Sources,F1100/F24,-0.326±0.069, 140, 0-25%
All Sources,F1100/F12,0.955±1.839, 129, 0-25%
All Sources,F1100/F8,0.135±0.559, 159, 0-25%
All Sources,F870/F500,-0.754±-1.114, 353, 0-25%
All Sources,F870/F350,-1.143±-0.914, 378, 0-25%
All Sources,F870/F250,-1.721±-1.796, 378, 0-25%
All Sources,F870/F160,-1.268±-0.109, 378, 0-25%
All Sources,F870/F70,-1.854±-1.745, 325, 0-25%
All Sources,F870/F24,0.02±0.926, 246, 0-25%
All Sources,F870/F12,0.725±1.544, 261, 0-25%
All Sources,F870/F8,0.07±0.379, 307, 0-25%
All Sources,F500/F350,-0.425±-0.996, 818, 0-25%
All Sources,F500/F250,-0.91±-1.237, 818, 0-25%
All Sources,F500/F160,-0.575±0.687, 818, 0-25%
All Sources,F500/F70,-0.951±-0.699, 706, 0-25%
All Sources,F500/F24,0.616±1.413, 617, 0-25%
All Sources,F500/F12,1.399±2.206, 591, 0-25%
All Sources,F500/F8,0.852±1.252, 667, 0-25%
All Sources,F350/F250,-0.492±-0.951, 980, 0-25%
All Sources,F350/F160,-0.272±0.955, 980, 0-25%
All Sources,F350/F70,-0.541±-0.28, 849, 0-25%
All Sources,F350/F24,1.05±1.97, 748, 0-25%
All Sources,F350/F12,1.811±2.666, 706, 0-25%
All Sources,F350/F8,1.264±1.764, 796, 0-25%
All Sources,F250/F160,-0.013±0.778, 980, 0-25%
All Sources,F250/F70,-0.032±0.219, 849, 0-25%
All Sources,F250/F24,1.585±2.557, 748, 0-25%
All Sources,F250/F12,2.352±3.239, 706, 0-25%
All Sources,F250/F8,1.806±2.33, 796, 0-25%
All Sources,F160/F70,0.114±0.344, 849, 0-25%
All Sources,F160/F24,1.698±2.611, 748, 0-25%
All Sources,F160/F12,2.454±3.325, 706, 0-25%
All Sources,F160/F8,1.917±2.39, 796, 0-25%
All Sources,F70/F24,1.349±1.246, 695, 0-25%
All Sources,F70/F12,2.219±2.42, 678, 0-25%
All Sources,F70/F8,1.809±2.041, 739, 0-25%
All Sources,F24/F12,0.834±0.731, 629, 0-25%
All Sources,F24/F8,0.42±0.38, 648, 0-25%
All Sources,F12/F8,-0.405±-0.745, 635, 0-25%
