Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.065±0.046, 158, 25-50%
All Sources,F1100/F500,-0.785±-0.896, 203, 25-50%
All Sources,F1100/F350,-1.208±-1.31, 210, 25-50%
All Sources,F1100/F250,-1.678±-1.745, 210, 25-50%
All Sources,F1100/F160,-1.721±-1.824, 210, 25-50%
All Sources,F1100/F70,-1.553±-1.387, 172, 25-50%
All Sources,F1100/F24,0.163±0.51, 140, 25-50%
All Sources,F1100/F12,1.07±1.778, 129, 25-50%
All Sources,F1100/F8,0.299±0.537, 159, 25-50%
All Sources,F870/F500,-0.788±-1.187, 354, 25-50%
All Sources,F870/F350,-1.201±-1.102, 379, 25-50%
All Sources,F870/F250,-1.721±-2.155, 379, 25-50%
All Sources,F870/F160,-1.77±-2.155, 379, 25-50%
All Sources,F870/F70,-1.509±-0.914, 325, 25-50%
All Sources,F870/F24,0.12±0.504, 246, 25-50%
All Sources,F870/F12,1.063±1.764, 261, 25-50%
All Sources,F870/F8,0.264±0.459, 308, 25-50%
All Sources,F500/F350,-0.388±-1.009, 819, 25-50%
All Sources,F500/F250,-0.839±-1.367, 819, 25-50%
All Sources,F500/F160,-0.876±-1.328, 819, 25-50%
All Sources,F500/F70,-0.873±0.403, 706, 25-50%
All Sources,F500/F24,0.867±1.038, 618, 25-50%
All Sources,F500/F12,1.659±2.355, 591, 25-50%
All Sources,F500/F8,0.985±1.257, 667, 25-50%
All Sources,F350/F250,-0.451±-1.086, 981, 25-50%
All Sources,F350/F160,-0.487±-0.914, 981, 25-50%
All Sources,F350/F70,-0.396±0.765, 849, 25-50%
All Sources,F350/F24,1.252±1.492, 749, 25-50%
All Sources,F350/F12,2.083±2.792, 707, 25-50%
All Sources,F350/F8,1.377±1.665, 797, 25-50%
All Sources,F250/F160,-0.026±-0.499, 981, 25-50%
All Sources,F250/F70,0.053±1.273, 849, 25-50%
All Sources,F250/F24,1.714±1.974, 749, 25-50%
All Sources,F250/F12,2.562±3.293, 707, 25-50%
All Sources,F250/F8,1.852±2.126, 797, 25-50%
All Sources,F160/F70,0.143±1.256, 849, 25-50%
All Sources,F160/F24,1.74±1.956, 749, 25-50%
All Sources,F160/F12,2.571±3.282, 707, 25-50%
All Sources,F160/F8,1.879±2.117, 797, 25-50%
All Sources,F70/F24,1.392±1.217, 695, 25-50%
All Sources,F70/F12,2.119±2.415, 678, 25-50%
All Sources,F70/F8,1.635±1.747, 740, 25-50%
All Sources,F24/F12,0.773±0.753, 629, 25-50%
All Sources,F24/F8,0.27±0.322, 649, 25-50%
All Sources,F12/F8,-0.45±-0.83, 635, 25-50%
