Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.012±-0.127, 158, 75-100%
All Sources,F1100/F500,-0.87±-1.06, 203, 75-100%
All Sources,F1100/F350,-1.194±-1.337, 210, 75-100%
All Sources,F1100/F250,-1.523±-1.569, 210, 75-100%
All Sources,F1100/F160,-1.222±-1.108, 210, 75-100%
All Sources,F1100/F70,-0.767±-0.636, 172, 75-100%
All Sources,F1100/F24,0.773±1.084, 141, 75-100%
All Sources,F1100/F12,1.34±1.922, 129, 75-100%
All Sources,F1100/F8,0.694±0.852, 159, 75-100%
All Sources,F870/F500,-0.821±-1.18, 354, 75-100%
All Sources,F870/F350,-1.167±-1.569, 379, 75-100%
All Sources,F870/F250,-1.523±-1.854, 379, 75-100%
All Sources,F870/F160,-1.26±-1.301, 379, 75-100%
All Sources,F870/F70,-0.804±-0.631, 326, 75-100%
All Sources,F870/F24,0.695±0.911, 247, 75-100%
All Sources,F870/F12,1.324±1.605, 261, 75-100%
All Sources,F870/F8,0.639±0.7, 308, 75-100%
All Sources,F500/F350,-0.32±-0.907, 819, 75-100%
All Sources,F500/F250,-0.638±-0.975, 819, 75-100%
All Sources,F500/F160,-0.309±-0.175, 819, 75-100%
All Sources,F500/F70,0.096±0.433, 707, 75-100%
All Sources,F500/F24,1.578±1.766, 618, 75-100%
All Sources,F500/F12,1.934±2.614, 591, 75-100%
All Sources,F500/F8,1.426±1.545, 668, 75-100%
All Sources,F350/F250,-0.32±-0.688, 981, 75-100%
All Sources,F350/F160,-0.004±0.095, 981, 75-100%
All Sources,F350/F70,0.411±0.73, 850, 75-100%
All Sources,F350/F24,1.87±1.998, 749, 75-100%
All Sources,F350/F12,2.279±2.765, 707, 75-100%
All Sources,F350/F8,1.731±1.845, 797, 75-100%
All Sources,F250/F160,0.313±0.373, 981, 75-100%
All Sources,F250/F70,0.744±0.938, 850, 75-100%
All Sources,F250/F24,2.192±2.316, 749, 75-100%
All Sources,F250/F12,2.62±3.013, 707, 75-100%
All Sources,F250/F8,2.05±2.115, 797, 75-100%
All Sources,F160/F70,0.492±0.624, 850, 75-100%
All Sources,F160/F24,1.909±1.912, 749, 75-100%
All Sources,F160/F12,2.389±2.758, 707, 75-100%
All Sources,F160/F8,1.861±2.273, 797, 75-100%
All Sources,F70/F24,1.395±1.182, 696, 75-100%
All Sources,F70/F12,1.927±2.114, 678, 75-100%
All Sources,F70/F8,1.443±1.966, 740, 75-100%
All Sources,F24/F12,0.581±0.592, 630, 75-100%
All Sources,F24/F8,0.045±0.135, 649, 75-100%
All Sources,F12/F8,-0.48±-0.68, 635, 75-100%
