Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.057±-0.069, 158, 25-50%
All Sources,F1100/F500,-0.78±-0.921, 203, 25-50%
All Sources,F1100/F350,-1.187±-1.31, 210, 25-50%
All Sources,F1100/F250,-1.638±-1.796, 210, 25-50%
All Sources,F1100/F160,-1.569±-1.444, 210, 25-50%
All Sources,F1100/F70,-1.208±-0.914, 172, 25-50%
All Sources,F1100/F24,0.351±0.563, 140, 25-50%
All Sources,F1100/F12,1.259±1.7, 129, 25-50%
All Sources,F1100/F8,0.526±0.806, 159, 25-50%
All Sources,F870/F500,-0.793±-1.167, 354, 25-50%
All Sources,F870/F350,-1.194±-1.167, 379, 25-50%
All Sources,F870/F250,-1.678±-1.921, 379, 25-50%
All Sources,F870/F160,-1.638±-1.721, 379, 25-50%
All Sources,F870/F70,-1.222±-0.703, 325, 25-50%
All Sources,F870/F24,0.286±0.517, 246, 25-50%
All Sources,F870/F12,1.09±1.385, 261, 25-50%
All Sources,F870/F8,0.405±0.537, 308, 25-50%
All Sources,F500/F350,-0.383±-1.0, 819, 25-50%
All Sources,F500/F250,-0.799±-1.229, 819, 25-50%
All Sources,F500/F160,-0.714±-0.752, 819, 25-50%
All Sources,F500/F70,-0.405±-0.194, 706, 25-50%
All Sources,F500/F24,1.126±1.484, 618, 25-50%
All Sources,F500/F12,1.688±2.001, 591, 25-50%
All Sources,F500/F8,1.086±1.31, 667, 25-50%
All Sources,F350/F250,-0.416±-0.939, 981, 25-50%
All Sources,F350/F160,-0.348±-0.456, 981, 25-50%
All Sources,F350/F70,-0.133±0.766, 849, 25-50%
All Sources,F350/F24,1.466±1.74, 749, 25-50%
All Sources,F350/F12,2.042±2.374, 707, 25-50%
All Sources,F350/F8,1.46±1.727, 797, 25-50%
All Sources,F250/F160,0.06±-0.163, 981, 25-50%
All Sources,F250/F70,0.255±1.271, 849, 25-50%
All Sources,F250/F24,1.854±2.112, 749, 25-50%
All Sources,F250/F12,2.445±2.796, 707, 25-50%
All Sources,F250/F8,1.884±2.178, 797, 25-50%
All Sources,F160/F70,0.168±1.242, 849, 25-50%
All Sources,F160/F24,1.754±1.811, 749, 25-50%
All Sources,F160/F12,2.382±2.748, 707, 25-50%
All Sources,F160/F8,1.844±2.155, 797, 25-50%
All Sources,F70/F24,1.409±1.19, 695, 25-50%
All Sources,F70/F12,2.069±2.335, 678, 25-50%
All Sources,F70/F8,1.588±2.012, 740, 25-50%
All Sources,F24/F12,0.715±0.647, 629, 25-50%
All Sources,F24/F8,0.205±0.26, 649, 25-50%
All Sources,F12/F8,-0.489±-0.686, 635, 25-50%
