Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,-0.009±-0.169, 158, 75-100%
All Sources,F1100/F500,-0.762±-0.924, 203, 75-100%
All Sources,F1100/F350,-1.18±-1.357, 210, 75-100%
All Sources,F1100/F250,-1.638±-1.745, 210, 75-100%
All Sources,F1100/F160,-1.046±-0.036, 210, 75-100%
All Sources,F1100/F70,-1.237±-0.807, 172, 75-100%
All Sources,F1100/F24,0.4±1.032, 141, 75-100%
All Sources,F1100/F12,1.029±1.326, 129, 75-100%
All Sources,F1100/F8,0.463±0.702, 159, 75-100%
All Sources,F870/F500,-0.738±-1.125, 354, 75-100%
All Sources,F870/F350,-1.155±-1.174, 379, 75-100%
All Sources,F870/F250,-1.62±-1.796, 379, 75-100%
All Sources,F870/F160,-1.187±-0.11, 379, 75-100%
All Sources,F870/F70,-1.252±-0.951, 326, 75-100%
All Sources,F870/F24,0.301±0.845, 247, 75-100%
All Sources,F870/F12,1.063±1.385, 261, 75-100%
All Sources,F870/F8,0.423±0.657, 308, 75-100%
All Sources,F500/F350,-0.385±-0.932, 819, 75-100%
All Sources,F500/F250,-0.807±-1.108, 819, 75-100%
All Sources,F500/F160,-0.458±0.687, 819, 75-100%
All Sources,F500/F70,-0.432±-0.057, 707, 75-100%
All Sources,F500/F24,1.015±1.459, 618, 75-100%
All Sources,F500/F12,1.649±1.992, 591, 75-100%
All Sources,F500/F8,1.109±1.377, 668, 75-100%
All Sources,F350/F250,-0.434±-0.9, 981, 75-100%
All Sources,F350/F160,-0.164±0.955, 981, 75-100%
All Sources,F350/F70,-0.079±0.186, 850, 75-100%
All Sources,F350/F24,1.342±1.618, 749, 75-100%
All Sources,F350/F12,2.019±2.408, 707, 75-100%
All Sources,F350/F8,1.471±1.794, 797, 75-100%
All Sources,F250/F160,0.097±0.78, 981, 75-100%
All Sources,F250/F70,0.338±0.567, 850, 75-100%
All Sources,F250/F24,1.756±2.015, 749, 75-100%
All Sources,F250/F12,2.458±2.862, 707, 75-100%
All Sources,F250/F8,1.908±2.194, 797, 75-100%
All Sources,F160/F70,0.307±0.485, 850, 75-100%
All Sources,F160/F24,1.721±1.918, 749, 75-100%
All Sources,F160/F12,2.458±2.873, 707, 75-100%
All Sources,F160/F8,1.948±2.364, 797, 75-100%
All Sources,F70/F24,1.377±1.272, 696, 75-100%
All Sources,F70/F12,2.134±2.424, 678, 75-100%
All Sources,F70/F8,1.694±2.066, 740, 75-100%
All Sources,F24/F12,0.758±0.733, 630, 75-100%
All Sources,F24/F8,0.303±0.354, 649, 75-100%
All Sources,F12/F8,-0.445±-0.815, 635, 75-100%
