Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.011±-0.175, 158, 75-100%
All Sources,F1100/F500,-0.876±-1.071, 203, 75-100%
All Sources,F1100/F350,-1.187±-1.337, 210, 75-100%
All Sources,F1100/F250,-1.495±-1.569, 210, 75-100%
All Sources,F1100/F160,-1.187±-1.108, 210, 75-100%
All Sources,F1100/F70,-0.762±-0.64, 172, 75-100%
All Sources,F1100/F24,0.775±1.083, 141, 75-100%
All Sources,F1100/F12,1.26±1.909, 129, 75-100%
All Sources,F1100/F8,0.648±0.811, 159, 75-100%
All Sources,F870/F500,-0.83±-1.268, 354, 75-100%
All Sources,F870/F350,-1.167±-1.585, 379, 75-100%
All Sources,F870/F250,-1.509±-1.854, 379, 75-100%
All Sources,F870/F160,-1.229±-1.319, 379, 75-100%
All Sources,F870/F70,-0.807±-0.635, 326, 75-100%
All Sources,F870/F24,0.691±0.909, 247, 75-100%
All Sources,F870/F12,1.288±1.579, 261, 75-100%
All Sources,F870/F8,0.618±0.679, 308, 75-100%
All Sources,F500/F350,-0.311±-0.907, 819, 75-100%
All Sources,F500/F250,-0.614±-0.975, 819, 75-100%
All Sources,F500/F160,-0.276±-0.181, 819, 75-100%
All Sources,F500/F70,0.129±0.454, 707, 75-100%
All Sources,F500/F24,1.593±1.764, 618, 75-100%
All Sources,F500/F12,1.942±2.611, 591, 75-100%
All Sources,F500/F8,1.435±1.536, 668, 75-100%
All Sources,F350/F250,-0.299±-0.678, 981, 75-100%
All Sources,F350/F160,0.031±0.089, 981, 75-100%
All Sources,F350/F70,0.44±0.755, 850, 75-100%
All Sources,F350/F24,1.888±1.995, 749, 75-100%
All Sources,F350/F12,2.278±2.754, 707, 75-100%
All Sources,F350/F8,1.739±1.835, 797, 75-100%
All Sources,F250/F160,0.339±0.368, 981, 75-100%
All Sources,F250/F70,0.77±0.97, 850, 75-100%
All Sources,F250/F24,2.207±2.317, 749, 75-100%
All Sources,F250/F12,2.605±2.983, 707, 75-100%
All Sources,F250/F8,2.05±2.097, 797, 75-100%
All Sources,F160/F70,0.499±0.619, 850, 75-100%
All Sources,F160/F24,1.904±1.902, 749, 75-100%
All Sources,F160/F12,2.326±2.596, 707, 75-100%
All Sources,F160/F8,1.817±2.235, 797, 75-100%
All Sources,F70/F24,1.399±1.186, 696, 75-100%
All Sources,F70/F12,1.888±1.874, 678, 75-100%
All Sources,F70/F8,1.363±1.713, 740, 75-100%
All Sources,F24/F12,0.545±0.52, 630, 75-100%
All Sources,F24/F8,0.018±0.134, 649, 75-100%
All Sources,F12/F8,-0.485±-0.676, 635, 75-100%
