Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.055±-0.002, 157, 50-75%
All Sources,F1100/F500,-0.793±-0.947, 202, 50-75%
All Sources,F1100/F350,-1.167±-1.268, 209, 50-75%
All Sources,F1100/F250,-1.569±-1.553, 209, 50-75%
All Sources,F1100/F160,-1.523±-1.444, 209, 50-75%
All Sources,F1100/F70,-1.119±-0.759, 171, 50-75%
All Sources,F1100/F24,0.463±1.06, 140, 50-75%
All Sources,F1100/F12,0.947±1.286, 129, 50-75%
All Sources,F1100/F8,0.417±0.685, 159, 50-75%
All Sources,F870/F500,-0.801±-1.215, 354, 50-75%
All Sources,F870/F350,-1.194±-1.538, 379, 50-75%
All Sources,F870/F250,-1.62±-1.886, 379, 50-75%
All Sources,F870/F160,-1.538±-1.538, 379, 50-75%
All Sources,F870/F70,-1.18±-0.932, 325, 50-75%
All Sources,F870/F24,0.342±0.86, 246, 50-75%
All Sources,F870/F12,0.931±1.182, 261, 50-75%
All Sources,F870/F8,0.361±0.604, 307, 50-75%
All Sources,F500/F350,-0.363±-0.936, 818, 50-75%
All Sources,F500/F250,-0.757±-1.036, 818, 50-75%
All Sources,F500/F160,-0.662±-0.642, 818, 50-75%
All Sources,F500/F70,-0.398±0.411, 706, 50-75%
All Sources,F500/F24,1.098±1.341, 617, 50-75%
All Sources,F500/F12,1.507±2.05, 591, 50-75%
All Sources,F500/F8,1.085±1.296, 667, 50-75%
All Sources,F350/F250,-0.398±-0.719, 981, 50-75%
All Sources,F350/F160,-0.313±-0.101, 981, 50-75%
All Sources,F350/F70,-0.073±0.763, 849, 50-75%
All Sources,F350/F24,1.412±1.639, 748, 50-75%
All Sources,F350/F12,1.879±2.396, 707, 50-75%
All Sources,F350/F8,1.424±1.68, 796, 50-75%
All Sources,F250/F160,0.063±-0.146, 981, 50-75%
All Sources,F250/F70,0.274±1.262, 849, 50-75%
All Sources,F250/F24,1.788±1.978, 748, 50-75%
All Sources,F250/F12,2.292±2.834, 707, 50-75%
All Sources,F250/F8,1.839±2.136, 796, 50-75%
All Sources,F160/F70,0.204±1.239, 849, 50-75%
All Sources,F160/F24,1.735±1.839, 748, 50-75%
All Sources,F160/F12,2.286±2.798, 707, 50-75%
All Sources,F160/F8,1.809±2.136, 796, 50-75%
All Sources,F70/F24,1.392±1.209, 695, 50-75%
All Sources,F70/F12,1.978±2.417, 678, 50-75%
All Sources,F70/F8,1.551±1.967, 739, 50-75%
All Sources,F24/F12,0.644±0.845, 629, 50-75%
All Sources,F24/F8,0.215±0.275, 649, 50-75%
All Sources,F12/F8,-0.45±-0.845, 635, 50-75%
