Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.056±0.012, 158, 25-50%
All Sources,F1100/F500,-0.78±-0.914, 203, 25-50%
All Sources,F1100/F350,-1.201±-1.347, 210, 25-50%
All Sources,F1100/F250,-1.658±-1.796, 210, 25-50%
All Sources,F1100/F160,-1.699±-1.721, 210, 25-50%
All Sources,F1100/F70,-1.456±-1.252, 172, 25-50%
All Sources,F1100/F24,0.048±0.353, 140, 25-50%
All Sources,F1100/F12,1.207±1.831, 129, 25-50%
All Sources,F1100/F8,0.438±0.694, 159, 25-50%
All Sources,F870/F500,-0.777±-1.137, 354, 25-50%
All Sources,F870/F350,-1.215±-1.538, 379, 25-50%
All Sources,F870/F250,-1.699±-1.886, 379, 25-50%
All Sources,F870/F160,-1.77±-2.097, 379, 25-50%
All Sources,F870/F70,-1.523±-1.42, 325, 25-50%
All Sources,F870/F24,0.113±0.404, 246, 25-50%
All Sources,F870/F12,1.041±1.661, 261, 25-50%
All Sources,F870/F8,0.24±0.426, 308, 25-50%
All Sources,F500/F350,-0.389±-1.018, 819, 25-50%
All Sources,F500/F250,-0.842±-1.357, 819, 25-50%
All Sources,F500/F160,-0.886±-1.114, 819, 25-50%
All Sources,F500/F70,-0.602±-0.337, 706, 25-50%
All Sources,F500/F24,0.86±0.974, 618, 25-50%
All Sources,F500/F12,1.559±2.018, 591, 25-50%
All Sources,F500/F8,0.943±1.192, 667, 25-50%
All Sources,F350/F250,-0.447±-1.056, 981, 25-50%
All Sources,F350/F160,-0.492±-0.807, 981, 25-50%
All Sources,F350/F70,-0.189±0.025, 849, 25-50%
All Sources,F350/F24,1.24±1.344, 749, 25-50%
All Sources,F350/F12,1.948±2.393, 707, 25-50%
All Sources,F350/F8,1.336±1.588, 797, 25-50%
All Sources,F250/F160,-0.036±-0.475, 981, 25-50%
All Sources,F250/F70,0.264±0.501, 849, 25-50%
All Sources,F250/F24,1.692±1.79, 749, 25-50%
All Sources,F250/F12,2.398±2.828, 707, 25-50%
All Sources,F250/F8,1.792±2.015, 797, 25-50%
All Sources,F160/F70,0.301±0.479, 849, 25-50%
All Sources,F160/F24,1.717±1.764, 749, 25-50%
All Sources,F160/F12,2.393±2.772, 707, 25-50%
All Sources,F160/F8,1.805±1.977, 797, 25-50%
All Sources,F70/F24,1.375±1.173, 695, 25-50%
All Sources,F70/F12,2.051±2.063, 678, 25-50%
All Sources,F70/F8,1.556±1.593, 740, 25-50%
All Sources,F24/F12,0.756±0.722, 629, 25-50%
All Sources,F24/F8,0.272±0.299, 649, 25-50%
All Sources,F12/F8,-0.462±-0.44, 635, 25-50%
