Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.002±-0.175, 158, 75-100%
All Sources,F1100/F500,-0.833±-1.046, 203, 75-100%
All Sources,F1100/F350,-1.167±-1.319, 210, 75-100%
All Sources,F1100/F250,-1.538±-1.569, 210, 75-100%
All Sources,F1100/F160,-1.337±-1.149, 210, 75-100%
All Sources,F1100/F70,-0.896±-0.678, 172, 75-100%
All Sources,F1100/F24,0.63±1.077, 141, 75-100%
All Sources,F1100/F12,1.008±1.861, 129, 75-100%
All Sources,F1100/F8,0.473±0.659, 159, 75-100%
All Sources,F870/F500,-0.78±-1.125, 354, 75-100%
All Sources,F870/F350,-1.131±-1.137, 379, 75-100%
All Sources,F870/F250,-1.538±-1.854, 379, 75-100%
All Sources,F870/F160,-1.337±-1.31, 379, 75-100%
All Sources,F870/F70,-0.936±-0.726, 326, 75-100%
All Sources,F870/F24,0.526±0.884, 247, 75-100%
All Sources,F870/F12,1.146±1.563, 261, 75-100%
All Sources,F870/F8,0.457±0.589, 308, 75-100%
All Sources,F500/F350,-0.33±-0.9, 819, 75-100%
All Sources,F500/F250,-0.688±-0.991, 819, 75-100%
All Sources,F500/F160,-0.444±-0.22, 819, 75-100%
All Sources,F500/F70,-0.079±0.401, 707, 75-100%
All Sources,F500/F24,1.342±1.607, 618, 75-100%
All Sources,F500/F12,1.564±2.562, 591, 75-100%
All Sources,F500/F8,1.218±1.39, 668, 75-100%
All Sources,F350/F250,-0.366±-0.697, 981, 75-100%
All Sources,F350/F160,-0.14±0.064, 981, 75-100%
All Sources,F350/F70,0.212±0.691, 850, 75-100%
All Sources,F350/F24,1.63±1.805, 749, 75-100%
All Sources,F350/F12,2.016±2.282, 707, 75-100%
All Sources,F350/F8,1.508±1.668, 797, 75-100%
All Sources,F250/F160,0.208±0.355, 981, 75-100%
All Sources,F250/F70,0.585±0.871, 850, 75-100%
All Sources,F250/F24,1.986±2.127, 749, 75-100%
All Sources,F250/F12,2.384±2.678, 707, 75-100%
All Sources,F250/F8,1.867±2.003, 797, 75-100%
All Sources,F160/F70,0.441±0.551, 850, 75-100%
All Sources,F160/F24,1.829±1.817, 749, 75-100%
All Sources,F160/F12,2.259±2.592, 707, 75-100%
All Sources,F160/F8,1.725±1.843, 797, 75-100%
All Sources,F70/F24,1.394±1.266, 696, 75-100%
All Sources,F70/F12,1.845±1.886, 678, 75-100%
All Sources,F70/F8,1.356±1.351, 740, 75-100%
All Sources,F24/F12,0.511±0.514, 630, 75-100%
All Sources,F24/F8,0.054±0.191, 649, 75-100%
All Sources,F12/F8,-0.45±-0.442, 635, 75-100%
