YB,F8,u_F8,e_F8,F12,u_F12,e_F12,F24,u_F24,e_F24,F70,u_F70,e_F70,F160,u_F160,e_F160,F250,u_F250,e_F250,F350,u_F350,e_F350,F500,u_F500,e_F500,F870,u_F870,e_F870,F1100,u_F1100,e_F1100,Multiple Sources,No Obvious Source 8,No Obvious Source 12,No Obvious Source 24,No Obvious Source 70,No Obvious Source 160,No Obvious Source 250,No Obvious Source 350,No Obvious Source 500,No Obvious Source 870,No Obvious Source 1100,Poor Confidence 8,Poor Confidence 12,Poor Confidence 24,Poor Confidence 70,Poor Confidence 160,Poor Confidence 250,Poor Confidence 350,Poor Confidence 500,Poor Confidence 870,Poor Confidence 1100,Very Circular,RMS,WISE Q,"WISE C,G,K",CORNISH,No Association
44,0.859114,0.128897855,0.1500357985,0.699452,0.1567516385,0.2241063554,6.791462,0.3398158022667876,0.05003573638,57.36753,3.603638494,0.06281669254,37.323,0.941,0.02521233514833242,22.061,0.528,0.023933638417976386,6.161,0.188,0.030514527,1.79,0.089,0.04972067,0.39,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46,5.870708,6.61402487,1.126614519,2.332798,2.411345345,1.033670873,11.36419,9.80997469254646,0.8632357161,128.677976,128.3910389,0.9977701148,90.47,6.403,0.07077484113993243,95.595,5.02,0.05251320655815172,39.006,2.269,0.05817054,15.9,1.914,0.12037736,1.28,,,1.68,0.143,0.08511905,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,1.518546,2.747903632,1.809562326,0.620086,0.8639722907,1.393310429,2.76657,2.2274499308201494,0.8051305157,72.105818,81.92281991,1.136147154,65.87,3.816,0.057932290644317756,113.156,11.449,0.10117890662962231,57.62,3.766,0.06535925,22.392,2.573,0.11490711,5.204,1.041,0.20003843,3.045,0.207,0.0679803,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,0.549048,0.09677436681,0.1762584816,0.111866,0.03246412297,0.2902054509,0.79755,0.13823182108203,0.1733205706,31.349964,5.160358696,0.1646049321,50.247,1.676,0.03335522516859366,52.315,2.886,0.05516582085413378,22.295,2.58,0.11572101,,,,,,,1.018,0.096,0.09430256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,0.384444,0.1131832845,0.2944077277,0.097368,0.03317947438,0.3407636429,1.74193,0.27690604354633,0.158965081,74.895308,12.6597831,0.1690330601,134.58,2.676,0.019884084695018688,119.016,3.157,0.026525845809385742,40.006,1.124,0.028095784,12.304,0.631,0.051284134,1.85,,,13.015,0.816,0.06269689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,1.570085,0.2457712574,0.1565337274,0.4684633333,0.1140113071,0.2433729579,2.936321667,0.3509954391329903,0.119535759,102.8227217,18.99524211,0.1847377875,89.169,3.367,0.03775976071276819,50.671,2.141,0.04225296584683402,16.782,1.065,0.06346086,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,0.426638,0.1159645997,0.2718102927,0.150048,0.07481721072,0.4986218458,0.494566,0.07949232464311401,0.160731479,7.203846,4.928978003,0.6842147934,4.487,0.265,0.05905950204922782,37.272,1.338,0.035898263015878076,16.567,0.648,0.0391139,7.181,0.529,0.07366662,1.26,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
54,0.97907,0.06596637932,0.06737657095,0.316716,0.07222637629,0.2280477661,5.21582,0.8965025313737759,0.1718814168,251.760348,15.7044651,0.06237862802,277.097,5.333,0.019245968679218718,252.652,5.977,0.023657046991558472,71.719,1.426,0.019883154,23.76,1.033,0.04347643,3.16,,,1.488,0.242,0.1626344,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
55,2.1078,0.1554778018,0.07376307135,0.492326,0.1514405718,0.3076022225,2.991972,0.09718379737008924,0.03248151967,38.189804,8.752630104,0.2291876152,33.912,1.461,0.043082093821294076,19.754,1.748,0.08848840871465052,9.558,0.438,0.04582549,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56,0.586722,0.083143222,0.1417080355,0.23964,0.1169244014,0.4879168813,2.34651,1.50031988687097,0.639383547,31.03793,4.607754353,0.1484555946,49.609,1.06,0.0213670894954452,36.006,1.149,0.031911349459462036,9.796,0.737,0.07523479,2.614,0.281,0.10749808,0.56,,,1.006,0.246,0.2445328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
